game_id,home_odds,away_odds,ot_odds,home_result,away_result,ot_result
2022-10-28VGKANA,0.63694,0.21882,0.20408,1,0,0
2022-10-29BUFCHI,0.54645,0.29851,0.21978,0,0,1
2022-10-29CGYEDM,0.5,0.33445,0.22173,0,1,0
2022-10-29DALNYR,0.3937,0.41841,0.23866,0,1,0
2022-10-29DETMIN,0.33445,0.5,0.22624,1,0,0
2022-10-29FLAOTT,0.54348,0.29499,0.21505,1,0,0
2022-10-29LAKTOR,0.36232,0.47393,0.22624,1,0,0
2022-10-29NSHWSH,0.46083,0.35714,0.2381,0,1,0
2022-10-29NYICOL,0.35461,0.46296,0.23753,1,0,0
2022-10-29PHICAR,0.28736,0.54054,0.22779,0,0,1
2022-10-29SEAPIT,0.37879,0.45249,0.23041,1,0,0
2022-10-29SJSTBL,0.28653,0.54348,0.22573,0,1,0
2022-10-29STLMTL,0.5988,0.24331,0.21231,0,1,0
2022-10-30ANATOR,0.29586,0.54348,0.21739,0,0,1
2022-10-30ARINYR,0.24876,0.5988,0.21322,0,1,0
2022-10-30CHIMIN,0.25126,0.59524,0.21413,0,0,1
2022-10-30NJDCBJ,0.55866,0.28011,0.21552,1,0,0
2022-10-30VGKWPG,0.55249,0.27933,0.22026,0,0,1
2022-10-31BUFDET,0.49505,0.3367,0.22676,1,0,0
2022-10-31CARWSH,0.55866,0.27322,0.22371,0,0,1
2022-10-31STLLAK,0.45045,0.36765,0.2381,0,1,0
2022-11-01ARIFLA,0.21459,0.64103,0.19881,1,0,0
2022-11-01CGYSEA,0.57471,0.26596,0.21645,0,1,0
2022-11-01CHINYI,0.28329,0.54945,0.22272,0,1,0
2022-11-01DALLAK,0.4717,0.35461,0.22989,1,0,0
2022-11-01EDMNSH,0.51813,0.31646,0.22124,1,0,0
2022-11-01MINMTL,0.59172,0.25063,0.21277,1,0,0
2022-11-01NYRPHI,0.60241,0.23697,0.21598,0,0,1
2022-11-01PITBOS,0.43103,0.39062,0.23419,0,0,1
2022-11-01SJSANA,0.45872,0.35971,0.23697,0,0,1
2022-11-01TBLOTT,0.54945,0.28653,0.2193,1,0,0
2022-11-01VANNJD,0.40161,0.42017,0.23202,0,1,0
2022-11-01WSHVGK,0.32468,0.49505,0.23256,0,0,1
2022-11-02BUFPIT,0.39683,0.44053,0.22523,1,0,0
2022-11-02TORPHI,0.66225,0.19231,0.19417,1,0,0
2022-11-03ARIDAL,0.25316,0.58824,0.21598,0,1,0
2022-11-03CGYNSH,0.57143,0.27027,0.21786,0,1,0
2022-11-03CHILAK,0.3003,0.5291,0.22624,0,0,1
2022-11-03DETWSH,0.3861,0.43478,0.23753,1,0,0
2022-11-03EDMNJD,0.50505,0.3413,0.22075,0,1,0
2022-11-03MINSEA,0.51813,0.31949,0.22124,0,1,0
2022-11-03NYRBOS,0.45249,0.36232,0.23474,0,1,0
2022-11-03OTTVGK,0.3413,0.4878,0.22883,0,1,0
2022-11-03SJSFLA,0.27624,0.5618,0.21598,0,0,1
2022-11-03STLNYI,0.42194,0.40161,0.23866,0,1,0
2022-11-03TBLCAR,0.41841,0.39841,0.23753,0,0,1
2022-11-03VANANA,0.53191,0.30303,0.22422,1,0,0
2022-11-03WPGMTL,0.56497,0.26954,0.22371,0,0,1
2022-11-04CARBUF,0.55249,0.28653,0.2193,1,0,0
