target_game_id,team,season,profit,win,reg_win,overtime,score,opp_score,goals,opp_goals,xGoalsPercentage,xGoals,opp_xGoals
2014-10-16OTTCOL,OTT,2014,1.420018392,1,1,0,5,3,2,1,0.6455,1.701,0.934
2014-10-14TBLNJD,TBL,2014,-1,0,0,0,1,2,1,1,0.5242,1.871,1.698
2014-10-16MTLBOS,MTL,2014,1.34000234,1,1,0,6,4,4,3,0.4932,1.934,1.987
2014-10-17BUFFLA,BUF,2014,-1,0,0,0,0,1,0,1,0.318,0.964,2.067
2014-10-16NYRCAR,CAR,2014,-1,0,0,1,1,2,1,1,0.3677,1.042,1.792
2014-10-17CBJCGY,CBJ,2014,0.829993595,1,1,0,3,2,2,2,0.614,2.049,1.288
2014-10-16PITDAL,DAL,2014,2.379977016,1,1,0,3,2,2,0,0.472,1.528,1.709
2014-10-15ARIEDM,EDM,2014,-1,0,0,0,4,7,3,5,0.4157,1.46,2.052
2014-10-16LAKSTL,LAK,2014,-1,1,0,1,1,0,0,0,0.2326,0.781,2.577
2014-10-17WPGNSH,NSH,2014,1.610012006,1,1,0,2,0,2,0,0.6101,1.781,1.138
2014-10-15CHICGY,CGY,2014,-1,1,0,1,2,1,1,0,0.2577,0.966,2.783
2014-10-16NYISJS,NYI,2014,-1,1,0,1,4,3,2,2,0.7567,2.718,0.874
2014-10-16NYRCAR,NYR,2014,-1,1,0,1,2,1,1,1,0.6323,1.792,1.042
2014-10-17ANAMIN,ANA,2014,1.11999152,1,1,0,2,1,1,1,0.5039,1.425,1.403
2014-10-18DALPHI,PHI,2014,-1,1,0,1,6,5,4,3,0.5187,2.717,2.521
2014-10-16WSHNJD,NJD,2014,-1,0,0,0,2,6,2,5,0.4714,1.236,1.386
2014-10-18VANTBL,TBL,2014,1.489977839,1,1,0,4,2,3,1,0.724,2.122,0.809
2014-10-16OTTCOL,COL,2014,-1,0,0,0,3,5,1,2,0.3545,0.934,1.701
2014-10-17TORDET,TOR,2014,-1,0,0,0,1,4,1,4,0.5601,1.944,1.527
2014-10-16WSHNJD,WSH,2014,1.230002453,1,1,0,6,2,5,2,0.5286,1.386,1.236
2014-10-16NYISJS,SJS,2014,-1,0,0,1,3,4,2,2,0.2433,0.874,2.718
2014-10-18ARISTL,ARI,2014,-1,0,0,0,1,6,0,2,0.3854,1.354,2.159
2014-10-17EDMVAN,EDM,2014,-1,0,0,0,0,2,0,1,0.5015,1.624,1.614
2014-10-17CBJCGY,CGY,2014,-1,0,0,0,2,3,2,2,0.386,1.288,2.049
2014-10-18CHINSH,CHI,2014,-1,1,0,1,2,1,1,0,0.4788,1.117,1.216
2014-10-16MTLBOS,BOS,2014,-1,0,0,0,4,6,3,4,0.5068,1.987,1.934
2014-10-17TORDET,DET,2014,1.639985216,1,1,0,4,1,4,1,0.4399,1.527,1.944
2014-10-18ARISTL,STL,2014,1.179979072,1,1,0,6,1,2,0,0.6146,2.159,1.354
2014-10-19LAKMIN,LAK,2014,1.059986816,1,1,0,2,1,1,1,0.3286,0.761,1.555
2014-10-18MTLCOL,MTL,2014,0.96001568,1,1,0,3,2,2,1,0.5858,2.143,1.515
2014-10-18BUFBOS,BOS,2014,0.71998624,1,1,0,4,0,4,0,0.6141,2.304,1.448
2014-10-18PITNYI,NYI,2014,-1,0,0,0,1,3,1,0,0.4392,1.423,1.817
2014-10-18NJDSJS,SJS,2014,1.350010575,1,1,0,4,2,1,2,0.4617,2.319,2.704
2014-10-21WPGCAR,CAR,2014,-1,0,0,0,1,3,0,3,0.3798,1.16,1.894
2014-10-19NYRSJS,NYR,2014,1.390000239,1,1,0,4,0,4,0,0.7151,2.959,1.179
2014-10-18MTLCOL,COL,2014,-1,0,0,0,2,3,1,2,0.4142,1.515,2.143
2014-10-18OTTCBJ,OTT,2014,1.22000222,1,1,0,3,2,3,2,0.4554,1.826,2.184
2014-10-18PITNYI,PIT,2014,0.920012288,1,1,0,3,1,0,1,0.5608,1.817,1.423
2014-10-18DALPHI,DAL,2014,-1,0,0,1,5,6,3,4,0.4813,2.521,2.717
2014-10-18WSHFLA,WSH,2014,-1,1,0,1,2,1,1,0,0.5968,1.779,1.202
2014-10-18NJDSJS,NJD,2014,-1,0,0,0,2,4,2,1,0.5383,2.704,2.319
2014-10-19ANASTL,ANA,2014,1.169997613,1,1,0,3,0,1,0,0.5559,1.453,1.161
2014-10-19LAKMIN,MIN,2014,-1,0,0,0,1,2,1,1,0.6714,1.555,0.761
2014-10-18BUFBOS,BUF,2014,-1,0,0,0,0,4,0,4,0.3859,1.448,2.304
2014-10-18WSHFLA,FLA,2014,-1,0,0,1,1,2,0,1,0.4032,1.202,1.779
2014-10-18OTTCBJ,CBJ,2014,-1,0,0,0,2,3,2,3,0.5446,2.184,1.826
2014-10-19WPGCGY,CGY,2014,2.009962977,1,1,0,4,1,3,1,0.4127,1.766,2.513
2014-10-20EDMTBL,EDM,2014,2.2,1,1,0,3,2,3,2,0.4674,1.427,1.626
2014-10-18VANTBL,VAN,2014,-1,0,0,0,2,4,1,3,0.276,0.809,2.122
2014-10-18DETTOR,TOR,2014,-1,0,0,1,0,1,0,0,0.4331,1.036,1.356
2014-10-18DETTOR,DET,2014,-1,1,0,1,1,0,0,0,0.5669,1.356,1.036
2014-10-18CHINSH,NSH,2014,-1,0,0,1,1,2,0,1,0.5212,1.216,1.117
2014-10-19WPGCGY,WPG,2014,-1,0,0,0,1,4,1,3,0.5873,2.513,1.766
2014-10-21NSHARI,ARI,2014,-1,0,0,1,3,4,1,3,0.4407,1.704,2.163
2014-10-19ANASTL,STL,2014,-1,0,0,0,0,3,0,1,0.4441,1.161,1.453
2014-10-21BOSSJS,BOS,2014,1.199978,1,1,0,5,3,2,2,0.6013,2.232,1.48
2014-10-22ANABUF,BUF,2014,-1,0,0,0,1,4,1,3,0.5077,2.048,1.986
2014-10-21NSHARI,NSH,2014,-1,1,0,1,4,3,3,1,0.5593,2.163,1.704
2014-10-21CHIPHI,CHI,2014,0.770005487,1,1,0,4,0,2,0,0.5996,3.299,2.203
2014-10-21DALVAN,DAL,2014,1.199978,1,1,0,6,3,5,3,0.2811,1.732,4.429
2014-10-21CHIPHI,PHI,2014,-1,0,0,0,0,4,0,2,0.4004,2.203,3.299
2014-10-21MTLDET,DET,2014,-1,0,0,1,1,2,1,0,0.4594,1.3,1.53
2014-10-21NYITOR,TOR,2014,2.009962977,1,1,0,5,2,5,1,0.4193,0.941,1.303
2014-10-21COLFLA,COL,2014,-1,0,0,1,3,4,1,3,0.3437,1.543,2.946
2014-10-21MTLDET,MTL,2014,-1,1,0,1,2,1,0,1,0.5406,1.53,1.3
2014-10-21NJDNYR,NJD,2014,-1,0,0,1,3,4,0,1,0.4888,1.616,1.69
2014-10-19NYRSJS,SJS,2014,-1,0,0,0,0,4,0,4,0.2849,1.179,2.959
2014-10-23SJSCBJ,CBJ,2014,2.43997248,1,1,0,5,4,3,3,0.4399,1.595,2.031
2014-10-25OTTNJD,OTT,2014,-1,0,0,1,2,3,0,1,0.4853,1.662,1.763
2014-10-21NYITOR,NYI,2014,-1,0,0,0,2,5,1,5,0.5807,1.303,0.941
2014-10-22PITPHI,PIT,2014,-1,0,0,0,3,5,3,4,0.4023,1.649,2.45
2014-10-20EDMTBL,TBL,2014,-1,0,0,0,2,3,2,3,0.5326,1.626,1.427
2014-10-21DALVAN,VAN,2014,-1,0,0,0,3,6,3,5,0.7189,4.429,1.732
2014-10-21COLFLA,FLA,2014,-1,1,0,1,4,3,3,1,0.6563,2.946,1.543
2014-10-22EDMWSH,WSH,2014,-1,0,0,0,2,3,1,2,0.7132,2.74,1.102
2014-10-23STLVAN,STL,2014,-1,0,0,0,1,4,0,2,0.5365,2.022,1.747
2014-10-22ANABUF,ANA,2014,0.460003212,1,1,0,4,1,3,1,0.4923,1.986,2.048
2014-10-23MINARI,MIN,2014,0.829993595,1,1,0,2,0,2,0,0.5951,2.15,1.463
2014-10-23LAKBUF,LAK,2014,0.440009216,1,1,0,2,0,0,0,0.6668,3.456,1.727
2014-10-21NJDNYR,NYR,2014,-1,1,0,1,4,3,1,0,0.5112,1.69,1.616
2014-10-21BOSSJS,SJS,2014,-1,0,0,0,3,5,2,2,0.3987,1.48,2.232
2014-10-21CGYTBL,CGY,2014,-1,0,0,1,1,2,0,1,0.4321,1.403,1.844
2014-10-21WPGCAR,WPG,2014,1.03998368,1,1,0,3,1,3,0,0.6202,1.894,1.16
2014-10-22EDMWSH,EDM,2014,1.97000297,1,1,0,3,2,2,1,0.2868,1.102,2.74
2014-10-21CGYTBL,TBL,2014,-1,1,0,1,2,1,1,0,0.5679,1.844,1.403
2014-10-23BOSNYI,BOS,2014,-1,0,0,0,2,3,2,3,0.4852,2.905,3.082
2014-10-23SJSCBJ,SJS,2014,-1,0,0,0,4,5,3,3,0.5601,2.031,1.595
2014-10-23CGYCAR,CGY,2014,0.970016351,1,1,0,5,0,5,0,0.6583,1.732,0.899
2014-10-24WPGTBL,TBL,2014,1.350010575,1,1,0,4,2,3,1,0.5655,1.769,1.359
2014-10-23NSHCHI,CHI,2014,-1,0,0,0,2,3,2,3,0.4865,1.77,1.868
2014-10-22PITPHI,PHI,2014,3.119973632,1,1,0,5,3,4,3,0.5977,2.45,1.649
2014-10-24COLVAN,COL,2014,1.11999152,1,1,0,7,3,6,3,0.6444,2.852,1.574
2014-10-25ARIFLA,FLA,2014,-1,0,0,1,1,2,1,0,0.5101,1.358,1.304
2014-10-24NJDDAL,DAL,2014,-1,1,0,1,3,2,1,2,0.4472,1.406,1.738
2014-10-23STLVAN,VAN,2014,2.110032966,1,1,0,4,1,2,0,0.4635,1.747,2.022
2014-10-25MTLNYR,MTL,2014,1.1499828,1,1,0,3,1,2,1,0.5829,2.76,1.975
2014-10-23DETPIT,DET,2014,-1,1,0,1,4,3,1,3,0.6358,1.81,1.037
2014-10-24NJDDAL,NJD,2014,-1,0,0,1,2,3,2,1,0.5528,1.738,1.406
2014-10-25MTLNYR,NYR,2014,-1,0,0,0,1,3,1,2,0.4171,1.975,2.76
2014-10-23MINARI,ARI,2014,-1,0,0,0,0,2,0,2,0.4049,1.463,2.15
2014-10-23NSHCHI,NSH,2014,1.840021584,1,1,0,3,2,3,2,0.5135,1.868,1.77
2014-10-23BOSNYI,NYI,2014,2.279979008,1,1,0,3,2,3,2,0.5148,3.082,2.905
2014-10-25TORBOS,TOR,2014,-1,0,0,0,1,4,0,2,0.3901,0.944,1.476
2014-10-24WPGTBL,WPG,2014,-1,0,0,0,2,4,1,3,0.4345,1.359,1.769
2014-10-23CGYCAR,CAR,2014,-1,0,0,0,0,5,0,5,0.3417,0.899,1.732
2014-10-23LAKBUF,BUF,2014,-1,0,0,0,0,2,0,0,0.3332,1.727,3.456
2014-10-24ANACBJ,ANA,2014,0.760005632,1,1,0,4,1,1,0,0.6152,1.38,0.863
2014-10-24EDMCAR,EDM,2014,0.990010149,1,1,0,6,3,4,3,0.5577,2.416,1.916
2014-10-25CGYWSH,WSH,2014,1.269992963,1,1,0,3,1,2,0,0.6915,1.742,0.777
2014-10-25PHIDET,PHI,2014,1.4500196,1,1,0,4,2,2,2,0.2759,0.97,2.546
2014-10-23DETPIT,PIT,2014,-1,0,0,1,3,4,3,1,0.3642,1.037,1.81
2014-10-25TORBOS,BOS,2014,1.359993392,1,1,0,4,1,2,0,0.6099,1.476,0.944
2014-10-25NYIDAL,NYI,2014,1.209993591,1,1,0,7,5,5,4,0.4854,2.222,2.356
2014-10-24EDMCAR,CAR,2014,-1,0,0,0,3,6,3,4,0.4423,1.916,2.416
2014-10-25CGYWSH,CGY,2014,-1,0,0,0,1,3,0,2,0.3085,0.777,1.742
2014-10-25NSHPIT,PIT,2014,1.230002453,1,1,0,3,0,1,0,0.408,0.885,1.284
