game_date,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SEA,SJS,STL,TBL,TOR,VAN,VGK,WPG,WSH
2014-11-02,0.4447789999999999,0.3867105555555555,0.4925063636363636,0.24662100000000003,0.33976812500000003,0.3683165,0.3420436363636364,0.5272072222222223,0.3978145454545455,0.3886281818181818,0.391350625,0.35406592592592595,0.342914375,0.4894290909090909,0.4185466666666666,0.41552545454545464,0.4002272727272727,0.420673125,0.40249499999999994,0.43394200000000005,0.369243125,0.3487718181818182,0.526871,,0.43880291666666665,0.45378777777777773,0.468975,0.39093500000000003,0.43173074074074075,,0.36360545454545457,0.42227
2014-11-03,0.4440427272727273,0.3752135,0.4925063636363636,0.24298363636363637,0.33305277777777786,0.3683165,0.3372509090909091,0.5350925,0.3954133333333334,0.3886281818181818,0.41774833333333333,0.35406592592592595,0.342914375,0.4929691666666667,0.4185466666666666,0.4212345454545455,0.4002272727272727,0.41448277777777776,0.40249499999999994,0.43394200000000005,0.369243125,0.3487718181818182,0.526871,,0.43880291666666665,0.45378777777777773,0.468975,0.39093500000000003,0.43241766666666664,,0.35264,0.43328909090909096
2014-11-04,0.4440427272727273,0.3752135,0.4925063636363636,0.24298363636363637,0.33305277777777786,0.3683165,0.3372509090909091,0.5350925,0.3954133333333334,0.3886281818181818,0.41774833333333333,0.35406592592592595,0.342914375,0.4929691666666667,0.4185466666666666,0.4212345454545455,0.4002272727272727,0.41448277777777776,0.40249499999999994,0.43723900000000004,0.369243125,0.3487718181818182,0.526871,,0.43880291666666665,0.4500961111111111,0.468975,0.39093500000000003,0.43241766666666664,,0.35264,0.43328909090909096
2014-11-05,0.4440427272727273,0.37689409090909093,0.49935666666666667,0.24298363636363637,0.3354615,0.3748813636363636,0.33421,0.526495909090909,0.39387500000000003,0.39125666666666664,0.42022149999999997,0.3471493333333333,0.33245277777777776,0.48385846153846157,0.41818600000000006,0.41632500000000006,0.4004775,0.41489833333333326,0.40249499999999994,0.43723900000000004,0.36818388888888887,0.3642708333333333,0.5139390909090908,,0.43880291666666665,0.44399750000000004,0.468975,0.3919054545454545,0.43355066666666675,,0.3513254166666666,0.43645590909090903
2014-11-06,0.44934,0.37689409090909093,0.49935666666666667,0.24647666666666668,0.3354615,0.3748813636363636,0.33421,0.526495909090909,0.39387500000000003,0.39125666666666664,0.416325,0.3471493333333333,0.33245277777777776,0.48385846153846157,0.41818600000000006,0.4252161538461539,0.4004775,0.41489833333333326,0.3933985,0.4356872727272727,0.36818388888888887,0.3642708333333333,0.5139390909090908,,0.43880291666666665,0.44399750000000004,0.468975,0.3919054545454545,0.43355066666666675,,0.3513254166666666,0.43645590909090903
2014-11-07,0.44934,0.37689409090909093,0.5061938461538461,0.24647666666666668,0.3354615,0.3748813636363636,0.32820727272727274,0.526495909090909,0.39598250000000007,0.39433375,0.416325,0.3377093939393939,0.3288988888888889,0.48689142857142853,0.41836636363636365,0.4252161538461539,0.39515458333333325,0.41077888888888886,0.3844522727272727,0.4356872727272727,0.3696795,0.3675083333333333,0.5134116666666667,,0.44133346153846154,0.45128,0.47476375,0.3894854545454546,0.4250587878787879,,0.3478965384615385,0.43645590909090903
2014-11-08,0.45774923076923074,0.3676495833333333,0.5061938461538461,0.25654461538461537,0.341528,0.36933318181818175,0.32820727272727274,0.52815875,0.39598250000000007,0.39433375,0.42526125,0.3442894444444444,0.3288988888888889,0.48689142857142853,0.41836636363636365,0.4252161538461539,0.3866734615384615,0.41077888888888886,0.3844522727272727,0.4356872727272727,0.3696795,0.3675083333333333,0.5134116666666667,,0.44133346153846154,0.45128,0.47476375,0.3894854545454546,0.4250587878787879,,0.3478965384615385,0.42291541666666665
2014-11-09,0.45774923076923074,0.368955,0.5061938461538461,0.2572926923076923,0.33737636363636364,0.36209625,0.3329083333333333,0.52815875,0.39159769230769237,0.39440499999999995,0.42526125,0.3442894444444444,0.337331,0.48558466666666666,0.41380583333333326,0.4256314285714286,0.3866734615384615,0.39911299999999994,0.38772541666666666,0.4283377272727273,0.37629772727272726,0.37586846153846154,0.5115891666666667,,0.43838107142857147,0.4566363636363636,0.4793788461538461,0.3959872727272727,0.4170497222222222,,0.34902107142857147,0.4302396153846153
2014-11-10,0.4616828571428572,0.368955,0.5061938461538461,0.2572926923076923,0.33737636363636364,0.36209625,0.3329083333333333,0.5271819230769231,0.39159769230769237,0.39440499999999995,0.4265857692307692,0.337785641025641,0.337331,0.48558466666666666,0.41380583333333326,0.4256314285714286,0.3866734615384615,0.39911299999999994,0.38772541666666666,0.4391979166666667,0.38299125000000006,0.37586846153846154,0.5115891666666667,,0.4285356666666667,0.4566363636363636,0.4707389285714285,0.3920241666666667,0.40856512820512825,,0.34902107142857147,0.4302396153846153
2014-11-11,0.4616828571428572,0.368955,0.5090692857142857,0.2572926923076923,0.3417290909090909,0.36209625,0.3279079166666667,0.5271819230769231,0.39159769230769237,0.39440499999999995,0.4265857692307692,0.337785641025641,0.337331,0.48558466666666666,0.41380583333333326,0.4256314285714286,0.3783067857142857,0.39911299999999994,0.38772541666666666,0.4391979166666667,0.38299125000000006,0.37586846153846154,0.5115891666666667,,0.4285356666666667,0.4566363636363636,0.4707389285714285,0.3920241666666667,0.40856512820512825,,0.34902107142857147,0.4302396153846153
2014-11-12,0.4616828571428572,0.3707225,0.5090692857142857,0.24965607142857144,0.3417290909090909,0.35391576923076923,0.3279079166666667,0.5243689285714286,0.38734423076923075,0.39526892857142853,0.4265857692307692,0.33298794871794873,0.3347227272727272,0.48558466666666666,0.4148476923076923,0.4300966666666667,0.37768633333333335,0.40570449999999997,0.39290375000000005,0.4309696153846154,0.37712653846153843,0.37586846153846154,0.5095776923076923,,0.43284656250000003,0.47897000000000006,0.46072366666666664,0.3920241666666667,0.414742619047619,,0.3467176666666667,0.44009249999999994
2014-11-13,0.45903333333333335,0.3707225,0.5097389285714286,0.24965607142857144,0.3417290909090909,0.35391576923076923,0.3279079166666667,0.5243689285714286,0.38734423076923075,0.39526892857142853,0.4265857692307692,0.33298794871794873,0.3347227272727272,0.47891,0.4148476923076923,0.4300966666666667,0.37768633333333335,0.40570449999999997,0.39290375000000005,0.4309696153846154,0.37712653846153843,0.37586846153846154,0.5095776923076923,,0.43284656250000003,0.47897000000000006,0.46072366666666664,0.39115666666666665,0.414742619047619,,0.3467176666666667,0.44009249999999994
2014-11-14,0.45903333333333335,0.36948166666666665,0.5093946428571429,0.24440833333333334,0.3458881818181819,0.35391576923076923,0.33797038461538464,0.5243689285714286,0.38138750000000005,0.3917096428571428,0.4265857692307692,0.3358552380952381,0.3347227272727272,0.48260000000000003,0.43413928571428567,0.4302816666666667,0.37768633333333335,0.406104,0.39290375000000005,0.4370046428571429,0.38071392857142855,0.37586846153846154,0.5095776923076923,,0.42773911764705885,0.4787554166666667,0.4611340625,0.39115666666666665,0.414742619047619,,0.343052,0.44009249999999994
2014-11-15,0.45903333333333335,0.3621721875,0.5093946428571429,0.24440833333333334,0.3458881818181819,0.3474332142857143,0.33797038461538464,0.5181463333333334,0.38138750000000005,0.3917096428571428,0.42199535714285713,0.3358552380952381,0.3375791666666667,0.48260000000000003,0.43413928571428567,0.4302816666666667,0.375676,0.406104,0.39627115384615386,0.4370046428571429,0.38071392857142855,0.38937571428571427,0.5096634615384615,,0.42773911764705885,0.4787554166666667,0.4611340625,0.3907629166666667,0.4251884444444445,,0.343052,0.44184535714285705
2014-11-16,0.45638433333333334,0.3621721875,0.5135303333333333,0.24509299999999998,0.3383766666666667,0.34868428571428567,0.3440960714285714,0.5181463333333334,0.381603,0.39621500000000004,0.42199535714285713,0.3358552380952381,0.3375791666666667,0.48477625,0.4288585714285715,0.433815,0.37760249999999995,0.40962833333333337,0.38961107142857143,0.4354614285714286,0.3809743333333333,0.3855939285714286,0.5114507692307693,,0.4260164705882353,0.48350807692307696,0.46432970588235295,0.3897933333333334,0.4251884444444445,,0.3405574444444444,0.4306536666666666
2014-11-17,0.4635746875,0.3562453125,0.5135303333333333,0.24509299999999998,0.33981999999999996,0.34868428571428567,0.3440960714285714,0.5232203333333333,0.381603,0.39148357142857143,0.4273575,0.3415713095238095,0.33154,0.48477625,0.434456,0.4284906666666667,0.37760249999999995,0.40962833333333337,0.38961107142857143,0.4354614285714286,0.3809743333333333,0.3855939285714286,0.5114507692307693,,0.42704000000000003,0.48350807692307696,0.46432970588235295,0.3897933333333334,0.4251884444444445,,0.3375476041666666,0.4306536666666666
2014-11-18,0.4635746875,0.3562453125,0.5135303333333333,0.24509299999999998,0.33981999999999996,0.34868428571428567,0.3440960714285714,0.5232203333333333,0.381603,0.39148357142857143,0.4273575,0.3415713095238095,0.33154,0.48477625,0.434456,0.4284906666666667,0.37760249999999995,0.40962833333333337,0.38961107142857143,0.4336413333333334,0.3809743333333333,0.3855939285714286,0.5114507692307693,,0.42704000000000003,0.48350807692307696,0.4604925000000001,0.3897933333333334,0.4251884444444445,,0.3375476041666666,0.4306536666666666
