"game_id","home_team","away_team","home_score","away_score","season","game_time","game_date"
"2021-02-02EDMOTT","EDM","OTT","4","2","2020","22:00:00","2021-02-02"
"2021-02-02LAKANA","LAK","ANA","1","3","2020","22:00:00","2021-02-02"
"2021-02-02MTLVAN","MTL","VAN","5","3","2020","19:00:00","2021-02-02"
"2021-02-02STLARI","STL","ARI","4","3","2020","20:00:00","2021-02-02"
"2021-02-02WPGCGY","WPG","CGY","3","2","2020","20:00:00","2021-02-02"
"2021-02-03PHIBOS","PHI","BOS","3","4","2020","20:00:00","2021-02-03"
"2021-02-03TBLDET","TBL","DET","5","1","2020","17:30:00","2021-02-03"
"2021-02-04CBJDAL","CBJ","DAL","4","3","2020","19:00:00","2021-02-04"
"2021-02-04CHICAR","CHI","CAR","6","4","2020","20:00:00","2021-02-04"
"2021-02-04FLANSH","FLA","NSH","5","6","2020","19:00:00","2021-02-04"
"2021-02-04MTLOTT","MTL","OTT","2","3","2020","19:00:00","2021-02-04"
"2021-02-04NYRWSH","NYR","WSH","4","2","2020","19:00:00","2021-02-04"
"2021-02-04STLARI","STL","ARI","3","4","2020","20:00:00","2021-02-04"
"2021-02-04TORVAN","TOR","VAN","7","3","2020","19:00:00","2021-02-04"
"2021-02-04WPGCGY","WPG","CGY","4","1","2020","20:00:00","2021-02-04"
"2021-02-05ANASJS","ANA","SJS","4","5","2020","22:00:00","2021-02-05"
"2021-02-05FLANSH","FLA","NSH","2","1","2020","19:00:00","2021-02-05"
"2021-02-05PHIBOS","PHI","BOS","1","2","2020","19:00:00","2021-02-05"
"2021-02-05TBLDET","TBL","DET","3","1","2020","19:00:00","2021-02-05"
"2021-02-05VGKLAK","VGK","LAK","5","2","2020","22:00:00","2021-02-05"
"2021-02-06ANASJS","ANA","SJS","2","1","2020","22:00:00","2021-02-06"
"2021-02-06CGYEDM","CGY","EDM","6","4","2020","22:00:00","2021-02-06"
"2021-02-06NYIPIT","NYI","PIT","4","3","2020","19:00:00","2021-02-06"
"2021-02-06OTTMTL","OTT","MTL","1","2","2020","13:00:00","2021-02-06"
"2021-02-06STLARI","STL","ARI","1","3","2020","15:00:00","2021-02-06"
"2021-02-06TORVAN","TOR","VAN","5","1","2020","19:00:00","2021-02-06"
"2021-02-07CBJCAR","CBJ","CAR","5","6","2020","15:00:00","2021-02-07"
"2021-02-07DALCHI","DAL","CHI","1","2","2020","15:00:00","2021-02-07"
"2021-02-07FLADET","FLA","DET","1","4","2020","15:00:00","2021-02-07"
"2021-02-07VGKLAK","VGK","LAK","4","3","2020","15:00:00","2021-02-07"
"2021-02-07WSHPHI","WSH","PHI","4","7","2020","12:00:00","2021-02-07"
"2021-02-08CBJCAR","CBJ","CAR","3","2","2020","19:00:00","2021-02-08"
"2021-02-08NSHTBL","NSH","TBL","1","4","2020","20:00:00","2021-02-08"
"2021-02-08NYRNYI","NYR","NYI","0","2","2020","19:00:00","2021-02-08"
"2021-02-08OTTEDM","OTT","EDM","1","3","2020","19:00:00","2021-02-08"
"2021-02-08STLARI","STL","ARI","3","4","2020","20:00:00","2021-02-08"
"2021-02-08TORVAN","TOR","VAN","3","1","2020","19:00:00","2021-02-08"
"2021-02-09CGYWPG","CGY","WPG","3","2","2020","22:00:00","2021-02-09"
"2021-02-09DALCHI","DAL","CHI","1","2","2020","20:30:00","2021-02-09"
"2021-02-09FLADET","FLA","DET","2","1","2020","19:00:00","2021-02-09"
"2021-02-09LAKSJS","LAK","SJS","3","4","2020","22:00:00","2021-02-09"
"2021-02-09NSHTBL","NSH","TBL","1","6","2020","20:30:00","2021-02-09"
"2021-02-09OTTEDM","OTT","EDM","2","3","2020","19:00:00","2021-02-09"
"2021-02-09VGKANA","VGK","ANA","5","4","2020","22:00:00","2021-02-09"
"2021-02-10MTLTOR","MTL","TOR","2","4","2020","19:30:00","2021-02-10"
"2021-02-10NYRBOS","NYR","BOS","2","3","2020","19:00:00","2021-02-10"
"2021-02-11CHICBJ","CHI","CBJ","5","6","2020","20:00:00","2021-02-11"
"2021-02-11DALCAR","DAL","CAR","3","5","2020","20:30:00","2021-02-11"
"2021-02-11FLATBL","FLA","TBL","5","2","2020","19:00:00","2021-02-11"
"2021-02-11LAKSJS","LAK","SJS","6","2","2020","22:00:00","2021-02-11"
"2021-02-11MTLEDM","MTL","EDM","0","3","2020","20:00:00","2021-02-11"
"2021-02-11NSHDET","NSH","DET","3","2","2020","20:00:00","2021-02-11"
"2021-02-11NYIPIT","NYI","PIT","3","4","2020","19:00:00","2021-02-11"
"2021-02-11VANCGY","VAN","CGY","1","3","2020","22:00:00","2021-02-11"
"2021-02-11VGKANA","VGK","ANA","0","1","2020","22:00:00","2021-02-11"
"2021-02-11WPGOTT","WPG","OTT","5","1","2020","20:00:00","2021-02-11"
"2021-02-12ARISTL","ARI","STL","1","4","2020","21:00:00","2021-02-12"
"2021-02-12NYRBOS","NYR","BOS","0","1","2020","19:00:00","2021-02-12"
"2021-02-13ARISTL","ARI","STL","4","5","2020","20:00:00","2021-02-13"
"2021-02-13CHICBJ","CHI","CBJ","3","2","2020","20:00:00","2021-02-13"
